Fecha;Despachados;Picados
31/12/2020;67192;51387
31/12/2021;84510;51934
24/12/2020;115252;67148
24/12/2022;92168;67464
31/12/2022;62491;71187
20/03/2021;131990;73450
28/11/2020;163934;79426
24/12/2021;98213;100371
19/03/2021;118770;104006
11/09/2020;111487;106257
10/09/2020;106263;106867
6/03/2021;123311;108312
27/02/2021;110340;108762
30/11/2020;98141;111274
3/03/2021;139374;112157
2/04/2021;166523;113993
18/03/2021;122221;114171
17/10/2020;130006;114675
14/03/2023;113968;116417
18/07/2020;122632;116609
24/04/2021;128344;119525
19/02/2021;128707;119644
8/09/2020;151514;120216
25/01/2023;118818;120332
21/08/2020;139002;120813
9/10/2021;151374;120884
19/06/2021;144693;120953
31/10/2020;148990;120993
17/03/2021;113531;121229
8/03/2021;114072;121266
19/09/2020;121061;121412
17/04/2021;146515;121569
5/03/2021;133784;122016
26/02/2021;126837;122440
18/02/2021;122661;123047
17/02/2021;140020;123879
30/04/2022;174406;123928
16/02/2021;141385;124330
29/08/2020;151389;124838
13/03/2021;140811;125064
13/02/2021;130380;125164
9/09/2020;132149;125858
18/09/2020;147111;125997
10/10/2020;113868;126566
16/01/2021;140643;127371
8/06/2020;155219;127637
16/09/2020;126391;127856
7/06/2023;154709;127942
17/09/2020;126823;128263
17/06/2021;141190;128305
25/09/2020;120982;128368
23/02/2021;117146;128392
21/10/2020;124342;128875
21/09/2020;122040;129094
7/10/2020;140227;129178
6/08/2020;139046;129589
30/04/2021;139539;129795
23/04/2021;155612;129865
1/03/2021;123610;130629
25/08/2020;126842;130706
20/02/2021;126879;130830
14/08/2023;136367;131071
24/02/2021;136207;131297
16/07/2020;147100;131319
23/03/2021;126469;131717
21/04/2020;141550;132079
23/10/2020;131584;132180
15/09/2020;131076;132214
24/09/2020;145421;132326
19/08/2020;146310;132665
17/07/2021;141827;132745
6/06/2020;138417;132939
10/04/2021;145716;133063
20/05/2023;159696;133070
9/10/2020;145466;133503
23/09/2020;133718;133692
17/07/2020;177942;133697
9/02/2021;150026;133902
29/07/2021;174423;134047
16/10/2021;143067;134124
8/10/2021;146214;134201
26/08/2020;146454;134862
20/10/2020;143374;134916
3/10/2020;138746;134988
12/09/2020;119876;135072
29/09/2020;137938;135273
24/03/2021;141360;135363
16/04/2021;159038;135664
15/03/2021;122644;135725
22/01/2021;150228;136008
22/07/2020;133568;136036
22/10/2020;144492;136133
15/02/2021;136666;136150
24/10/2020;162529;136155
2/01/2023;137488;136201
24/07/2020;140668;136226
4/03/2021;137508;136489
14/07/2020;173301;136569
11/03/2021;142531;136631
9/03/2021;133710;136827
17/06/2020;157057;136841
10/03/2021;128680;137421
22/09/2020;124963;137513
10/02/2021;141841;137790
7/08/2020;156854;137817
12/01/2021;150396;137865
8/08/2020;137531;137885
12/06/2021;159944;137918
8/07/2022;155670;137977
14/09/2020;126618;138130
31/08/2020;130591;138298
5/04/2021;128231;138443
16/03/2021;115414;138631
17/08/2020;147924;138654
30/07/2022;157333;138663
27/03/2021;141037;138789
30/12/2020;167017;138977
22/04/2023;168185;139067
25/01/2021;141578;139146
18/09/2021;155619;139460
20/07/2020;123195;139637
7/01/2021;162799;139865
17/09/2022;151883;139886
24/08/2020;158081;139892
28/04/2021;162512;139984
8/05/2021;147684;140395
6/02/2021;161199;140499
15/08/2020;134465;140504
15/10/2021;167604;140562
23/07/2020;132588;140732
1/07/2023;157881;140768
14/08/2021;150264;140786
19/10/2020;132497;140890
3/06/2023;179238;141004
20/08/2020;158506;141084
18/08/2020;144096;141126
11/10/2021;127581;141226
5/09/2020;151335;141318
12/02/2021;148900;141476
1/09/2020;133591;141651
20/01/2021;161457;141783
13/08/2020;142059;141902
24/11/2020;163105;141924
18/01/2021;136307;142091
26/09/2020;129611;142248
24/04/2020;164510;142308
15/06/2021;159061;142543
15/02/2022;138678;142588
2/03/2021;133642;142602
16/10/2020;139811;142667
12/10/2020;148095;142710
27/10/2020;147578;142725
2/10/2021;157386;142790
23/01/2021;148441;143000
1/12/2020;129154;143044
16/05/2020;142169;143086
25/05/2023;153230;143186
27/11/2020;136947;143298
4/09/2020;150270;143315
